t,x,y,theta,v,w
19.227,-0.1219,0.0002,-0.0434,0.000,0.000
19.235,-0.1219,0.0002,-0.0434,0.000,0.000
19.242,-0.1219,0.0002,-0.0434,0.000,0.000
19.250,-0.1219,0.0002,-0.0434,0.000,0.000
19.257,-0.1219,0.0002,-0.0434,0.000,0.000
19.265,-0.1219,0.0002,-0.0434,0.000,0.000
19.269,-0.1219,0.0002,-0.0434,0.000,0.000
19.272,-0.1219,0.0002,-0.0434,0.000,0.000
19.376,-0.1219,0.0002,-0.0434,0.000,0.000
19.384,-0.1219,0.0002,-0.0434,0.000,0.000
19.392,-0.1219,0.0002,-0.0434,0.000,0.000
19.400,-0.1219,0.0002,-0.0434,0.000,0.000
19.407,-0.1219,0.0002,-0.0434,0.000,0.000
19.414,-0.1219,0.0002,-0.0434,0.000,0.000
19.421,-0.1219,0.0002,-0.0434,0.000,0.000
19.430,-0.1219,0.0002,-0.0434,0.000,0.000
19.438,-0.1219,0.0002,-0.0434,0.000,-0.004
19.446,-0.1219,0.0002,-0.0434,0.000,-0.004
19.454,-0.1219,0.0002,-0.0435,0.000,-0.004
19.460,-0.1219,0.0002,-0.0437,-0.001,-0.031
19.468,-0.1219,0.0002,-0.0439,-0.001,-0.031
19.476,-0.1219,0.0002,-0.0443,0.000,-0.049
19.485,-0.1219,0.0002,-0.0447,0.000,-0.049
19.493,-0.1219,0.0002,-0.0451,0.000,-0.049
19.501,-0.1219,0.0002,-0.0457,-0.001,-0.066
19.509,-0.1220,0.0002,-0.0462,-0.001,-0.066
19.517,-0.1220,0.0002,-0.0468,0.000,-0.081
19.525,-0.1220,0.0002,-0.0475,0.000,-0.081
19.532,-0.1220,0.0002,-0.0481,0.000,-0.081
19.540,-0.1219,0.0002,-0.0488,0.001,-0.088
19.548,-0.1219,0.0002,-0.0495,0.001,-0.088
19.556,-0.1219,0.0002,-0.0501,0.001,-0.088
19.564,-0.1219,0.0002,-0.0509,0.000,-0.093
19.572,-0.1219,0.0002,-0.0517,0.000,-0.093
19.580,-0.1219,0.0002,-0.0524,0.000,-0.105
19.588,-0.1219,0.0002,-0.0534,0.000,-0.105
19.596,-0.1219,0.0002,-0.0541,0.000,-0.105
19.604,-0.1219,0.0002,-0.0550,0.001,-0.111
19.611,-0.1219,0.0002,-0.0559,0.001,-0.111
19.618,-0.1219,0.0002,-0.0567,0.000,-0.118
19.626,-0.1219,0.0002,-0.0576,0.000,-0.118
19.634,-0.1219,0.0002,-0.0585,0.000,-0.118
19.642,-0.1219,0.0002,-0.0594,0.000,-0.120
19.649,-0.1219,0.0002,-0.0604,0.000,-0.120
19.656,-0.1219,0.0002,-0.0612,-0.002,-0.111
19.664,-0.1219,0.0002,-0.0621,-0.002,-0.111
19.674,-0.1220,0.0002,-0.0631,-0.002,-0.111
19.681,-0.1220,0.0002,-0.0639,-0.003,-0.106
19.690,-0.1220,0.0002,-0.0648,-0.003,-0.106
19.697,-0.1220,0.0002,-0.0656,-0.001,-0.103
19.708,-0.1220,0.0002,-0.0667,-0.001,-0.103
19.717,-0.1221,0.0002,-0.0676,-0.003,-0.101
19.726,-0.1221,0.0002,-0.0685,-0.003,-0.101
19.734,-0.1221,0.0002,-0.0693,-0.003,-0.101
19.741,-0.1221,0.0002,-0.0700,0.000,-0.097
19.751,-0.1221,0.0002,-0.0709,0.000,-0.097
19.758,-0.1221,0.0002,-0.0716,0.000,-0.092
19.766,-0.1221,0.0002,-0.0724,0.000,-0.092
19.774,-0.1221,0.0002,-0.0730,0.000,-0.092
19.781,-0.1221,0.0002,-0.0737,0.000,-0.085
19.789,-0.1221,0.0002,-0.0744,0.000,-0.085
19.797,-0.1221,0.0002,-0.0749,0.002,-0.073
19.805,-0.1221,0.0002,-0.0755,0.002,-0.073
19.812,-0.1221,0.0002,-0.0760,0.002,-0.073
19.820,-0.1221,0.0002,-0.0765,0.001,-0.059
19.827,-0.1220,0.0002,-0.0769,0.001,-0.059
19.834,-0.1220,0.0002,-0.0773,0.001,-0.059
19.842,-0.1220,0.0002,-0.0777,0.000,-0.050
19.850,-0.1220,0.0002,-0.0781,0.000,-0.050
19.858,-0.1220,0.0002,-0.0784,0.000,-0.039
19.866,-0.1220,0.0002,-0.0787,0.000,-0.039
19.874,-0.1220,0.0002,-0.0791,0.000,-0.039
19.882,-0.1220,0.0002,-0.0793,0.001,-0.029
19.889,-0.1220,0.0002,-0.0795,0.001,-0.029
19.897,-0.1220,0.0002,-0.0797,0.000,-0.022
19.907,-0.1220,0.0002,-0.0799,0.000,-0.022
19.914,-0.1220,0.0002,-0.0801,0.000,-0.022
19.922,-0.1220,0.0002,-0.0801,0.002,-0.008
19.929,-0.1220,0.0002,-0.0802,0.002,-0.008
